,cluster,journal_id,journal_title,pap_id,pap_title,distance
3,6,1005,The AAPS Journal,461400,"Virtual coupling of pyran protons in the <sup class=""a-plus-plus"">1</sup>H NMR spectra of <em class=""a-plus-plus"">C</em>- and <em class=""a-plus-plus"">N</em>-glucoronides: Dependence on substitution and solvent",[[0.593471877062]]
7,5,1005,The AAPS Journal,461500,Functional differences in nucleoside and nucleobase transporters expressed on the rabbit corneal epithelial cell line (SIRC) and isolated rabbit cornea,[[0.451460410664]]
3,5,1005,The AAPS Journal,461600,Population pharmacokinetics of recombinant factor XIII in cynomolgus monkeys,[[0.332148714229]]
3,5,1005,The AAPS Journal,461700,Pharmacokinetics and bioavailability of the isoflavone biochanin A in rats,[[0.680510889174]]
3,5,1005,The AAPS Journal,461800,Microparticles for Inhalational Delivery of Antipseudomonal Antibiotics,[[0.640544607742]]
7,1,1005,The AAPS Journal,461900,Activation of Pregnane X Receptor (PXR) and Constitutive Androstane Receptor (CAR) by Herbal Medicines,[[0.299430804706]]
7,14,1005,The AAPS Journal,462000,Investigation of the Ovarian and Prostate Cancer Peptidome for Candidate Early Detection Markers Using a Novel Nanoparticle Biomarker Capture Technology,[[0.605288438233]]
7,3,1005,The AAPS Journal,462100,Role of Metabolism in the Effects of Genistein and Its Phase II Conjugates on the Growth of Human Breast Cell Lines,[[0.43208197444]]
7,1,1005,The AAPS Journal,462200,"Determination of the Dominant Arachidonic Acid Cytochrome P450 Monooxygenases in Rat Heart, Lung, Kidney, and Liver: Protein Expression and Metabolite Kinetics",[[0.546590939236]]
3,6,1006,AAPS PharmSciTech,462300,Stability of a second-generation cephalosporin veterinary mastitis formulation after electron beam irradiation,[[0.61579893755]]
3,6,1006,AAPS PharmSciTech,462400,Unilamellar vesicles as potential capreomycin sulfate carriers: Preparation and physicochemical characterization,[[0.552167757283]]
3,6,1006,AAPS PharmSciTech,462500,"Physicochemical characterization, in vitro dissolution behavior, and pharmacodynamic studies of rofecoxib-cyclodextrin inclusion compounds. Preparation and properties of rofecoxib hydroxypropyl β-cyclodextrin inclusion complex: A technical note",[[0.567031239025]]
3,4,1006,AAPS PharmSciTech,462600,Characterization of DNA degradation using direct current conductivity and dynamic dielectric relaxation techniques,[[0.625135975424]]
3,6,1006,AAPS PharmSciTech,462700,Effect of hydrophilic swellable polymers on dissolution enhancement of carbamazepine solid dispersions studied using response surface methodology,[[0.519434921831]]
3,6,1006,AAPS PharmSciTech,462800,Development of Spray Dried Liposomal Dry Powder Inhaler of Dapsone,[[0.517578959445]]
3,6,1006,AAPS PharmSciTech,462900,Development and Chemical Stability Studies of Alcohol-Free Phenobarbital Solution for Use in Pediatrics: a Technical Note,[[0.503518503731]]
3,6,1006,AAPS PharmSciTech,463000,Comparison of Three Dissolution Apparatuses for Testing Calcium Phosphate Pellets used as Ibuprofen Delivery Systems,[[0.546975412325]]
3,6,1006,AAPS PharmSciTech,463100,Preparation and Evaluation of Thermosensitive Liposomal Hydrogel for Enhanced Transcorneal Permeation of Ofloxacin,[[0.621693855195]]
7,7,1006,AAPS PharmSciTech,463200,"Preparation, Safety, Pharmacokinetics, and Pharmacodynamics of Liposomes Containing <em class=""a-plus-plus"">Brucea javanica</em> Oil",[[0.522836124631]]
3,6,1006,AAPS PharmSciTech,463300,Application of Modeling to Scale-up Dissolution in Pharmaceutical Manufacturing,[[0.310595413694]]
3,6,1006,AAPS PharmSciTech,463400,3D Simulation of Internal Tablet Strength During Tableting,[[0.396623029003]]
3,6,1006,AAPS PharmSciTech,463500,Microchip for Sustained Drug Delivery by Diffusion Through Microchannels,[[0.606840707206]]
