,cluster,journal_id,journal_title,pap_id,pap_title,distance
3,7,1005,The AAPS Journal,461400,"Virtual coupling of pyran protons in the <sup class=""a-plus-plus"">1</sup>H NMR spectra of <em class=""a-plus-plus"">C</em>- and <em class=""a-plus-plus"">N</em>-glucoronides: Dependence on substitution and solvent",[[0.226855629647]]
7,14,1005,The AAPS Journal,461500,Functional differences in nucleoside and nucleobase transporters expressed on the rabbit corneal epithelial cell line (SIRC) and isolated rabbit cornea,[[0.118960108622]]
3,14,1005,The AAPS Journal,461600,Population pharmacokinetics of recombinant factor XIII in cynomolgus monkeys,[[0.117923012899]]
3,14,1005,The AAPS Journal,461700,Pharmacokinetics and bioavailability of the isoflavone biochanin A in rats,[[0.135677797868]]
3,14,1005,The AAPS Journal,461800,Microparticles for Inhalational Delivery of Antipseudomonal Antibiotics,[[0.121752398318]]
7,14,1005,The AAPS Journal,461900,Activation of Pregnane X Receptor (PXR) and Constitutive Androstane Receptor (CAR) by Herbal Medicines,[[0.100401007331]]
7,0,1005,The AAPS Journal,462000,Investigation of the Ovarian and Prostate Cancer Peptidome for Candidate Early Detection Markers Using a Novel Nanoparticle Biomarker Capture Technology,[[0.338804164032]]
7,3,1005,The AAPS Journal,462100,Role of Metabolism in the Effects of Genistein and Its Phase II Conjugates on the Growth of Human Breast Cell Lines,[[0.147099948756]]
7,14,1005,The AAPS Journal,462200,"Determination of the Dominant Arachidonic Acid Cytochrome P450 Monooxygenases in Rat Heart, Lung, Kidney, and Liver: Protein Expression and Metabolite Kinetics",[[0.211940559897]]
3,14,1006,AAPS PharmSciTech,462300,Stability of a second-generation cephalosporin veterinary mastitis formulation after electron beam irradiation,[[0.125381880348]]
3,14,1006,AAPS PharmSciTech,462400,Unilamellar vesicles as potential capreomycin sulfate carriers: Preparation and physicochemical characterization,[[0.147078982762]]
3,14,1006,AAPS PharmSciTech,462500,"Physicochemical characterization, in vitro dissolution behavior, and pharmacodynamic studies of rofecoxib-cyclodextrin inclusion compounds. Preparation and properties of rofecoxib hydroxypropyl β-cyclodextrin inclusion complex: A technical note",[[0.105544324881]]
3,7,1006,AAPS PharmSciTech,462600,Characterization of DNA degradation using direct current conductivity and dynamic dielectric relaxation techniques,[[0.208817583033]]
3,14,1006,AAPS PharmSciTech,462700,Effect of hydrophilic swellable polymers on dissolution enhancement of carbamazepine solid dispersions studied using response surface methodology,[[0.132022765116]]
3,14,1006,AAPS PharmSciTech,462800,Development of Spray Dried Liposomal Dry Powder Inhaler of Dapsone,[[0.138492262181]]
3,14,1006,AAPS PharmSciTech,462900,Development and Chemical Stability Studies of Alcohol-Free Phenobarbital Solution for Use in Pediatrics: a Technical Note,[[0.111457178913]]
3,14,1006,AAPS PharmSciTech,463000,Comparison of Three Dissolution Apparatuses for Testing Calcium Phosphate Pellets used as Ibuprofen Delivery Systems,[[0.110121309025]]
3,14,1006,AAPS PharmSciTech,463100,Preparation and Evaluation of Thermosensitive Liposomal Hydrogel for Enhanced Transcorneal Permeation of Ofloxacin,[[0.124117267612]]
7,3,1006,AAPS PharmSciTech,463200,"Preparation, Safety, Pharmacokinetics, and Pharmacodynamics of Liposomes Containing <em class=""a-plus-plus"">Brucea javanica</em> Oil",[[0.203019944442]]
3,14,1006,AAPS PharmSciTech,463300,Application of Modeling to Scale-up Dissolution in Pharmaceutical Manufacturing,[[0.115034852119]]
