,cluster,journal_id,journal_title,pap_id,pap_title,distance
3,37,1005,The AAPS Journal,461400,"Virtual coupling of pyran protons in the <sup class=""a-plus-plus"">1</sup>H NMR spectra of <em class=""a-plus-plus"">C</em>- and <em class=""a-plus-plus"">N</em>-glucoronides: Dependence on substitution and solvent",[[0.233553449275]]
7,2,1005,The AAPS Journal,461500,Functional differences in nucleoside and nucleobase transporters expressed on the rabbit corneal epithelial cell line (SIRC) and isolated rabbit cornea,[[0.113328705711]]
3,37,1005,The AAPS Journal,461600,Population pharmacokinetics of recombinant factor XIII in cynomolgus monkeys,[[0.116757712046]]
3,37,1005,The AAPS Journal,461700,Pharmacokinetics and bioavailability of the isoflavone biochanin A in rats,[[0.134098185846]]
3,37,1005,The AAPS Journal,461800,Microparticles for Inhalational Delivery of Antipseudomonal Antibiotics,[[0.124100686797]]
7,37,1005,The AAPS Journal,461900,Activation of Pregnane X Receptor (PXR) and Constitutive Androstane Receptor (CAR) by Herbal Medicines,[[0.0999237678243]]
7,12,1005,The AAPS Journal,462000,Investigation of the Ovarian and Prostate Cancer Peptidome for Candidate Early Detection Markers Using a Novel Nanoparticle Biomarker Capture Technology,[[0.310294028241]]
7,2,1005,The AAPS Journal,462100,Role of Metabolism in the Effects of Genistein and Its Phase II Conjugates on the Growth of Human Breast Cell Lines,[[0.132883220551]]
7,37,1005,The AAPS Journal,462200,"Determination of the Dominant Arachidonic Acid Cytochrome P450 Monooxygenases in Rat Heart, Lung, Kidney, and Liver: Protein Expression and Metabolite Kinetics",[[0.210454152027]]
3,37,1006,AAPS PharmSciTech,462300,Stability of a second-generation cephalosporin veterinary mastitis formulation after electron beam irradiation,[[0.122148990664]]
3,37,1006,AAPS PharmSciTech,462400,Unilamellar vesicles as potential capreomycin sulfate carriers: Preparation and physicochemical characterization,[[0.144302701777]]
3,37,1006,AAPS PharmSciTech,462500,"Physicochemical characterization, in vitro dissolution behavior, and pharmacodynamic studies of rofecoxib-cyclodextrin inclusion compounds. Preparation and properties of rofecoxib hydroxypropyl β-cyclodextrin inclusion complex: A technical note",[[0.101289518346]]
3,37,1006,AAPS PharmSciTech,462600,Characterization of DNA degradation using direct current conductivity and dynamic dielectric relaxation techniques,[[0.218345323805]]
3,37,1006,AAPS PharmSciTech,462700,Effect of hydrophilic swellable polymers on dissolution enhancement of carbamazepine solid dispersions studied using response surface methodology,[[0.128815960373]]
3,37,1006,AAPS PharmSciTech,462800,Development of Spray Dried Liposomal Dry Powder Inhaler of Dapsone,[[0.135634748491]]
3,37,1006,AAPS PharmSciTech,462900,Development and Chemical Stability Studies of Alcohol-Free Phenobarbital Solution for Use in Pediatrics: a Technical Note,[[0.108116909199]]
3,37,1006,AAPS PharmSciTech,463000,Comparison of Three Dissolution Apparatuses for Testing Calcium Phosphate Pellets used as Ibuprofen Delivery Systems,[[0.1085914473]]
3,37,1006,AAPS PharmSciTech,463100,Preparation and Evaluation of Thermosensitive Liposomal Hydrogel for Enhanced Transcorneal Permeation of Ofloxacin,[[0.12123379031]]
7,37,1006,AAPS PharmSciTech,463200,"Preparation, Safety, Pharmacokinetics, and Pharmacodynamics of Liposomes Containing <em class=""a-plus-plus"">Brucea javanica</em> Oil",[[0.204368377942]]
3,37,1006,AAPS PharmSciTech,463300,Application of Modeling to Scale-up Dissolution in Pharmaceutical Manufacturing,[[0.112191163526]]
3,37,1006,AAPS PharmSciTech,463400,3D Simulation of Internal Tablet Strength During Tableting,[[0.175140283212]]
3,37,1006,AAPS PharmSciTech,463500,Microchip for Sustained Drug Delivery by Diffusion Through Microchannels,[[0.199262908463]]
3,37,1006,AAPS PharmSciTech,463600,Effects of Processing on the Release Profiles of Matrix Systems Containing 5-Aminosalicylic Acid,[[0.139307142673]]
3,37,1006,AAPS PharmSciTech,463700,Amorphous Solid Dispersions of Sulfonamide/Soluplus® and Sulfonamide/PVP Prepared by Ball Milling,[[0.0705322717584]]
7,2,6339,SpringerPlus,477700,Transdifferentiation of MALME-3M and MCF-7 Cells toward Adipocyte-like Cells is Dependent on Clathrin-mediated Endocytosis,[[0.152978297248]]
3,26,6916,Fixed Point Theory and Applications,477900,Existence and iterative approximation for generalized equilibrium problems for a countable family of nonexpansive mappings in banach spaces,[[0.0380468378943]]
3,4,6916,Fixed Point Theory and Applications,478000,Weak compactness and the Eisenfeld-Lakshmikantham measure of nonconvexity,[[0.369990575456]]
3,4,6916,Fixed Point Theory and Applications,478100,Common fixed points of mappings satisfying implicit contractive conditions,[[0.265322641117]]
3,26,6916,Fixed Point Theory and Applications,478200,The convergence theorems of Ishikawa iterative process with errors for Φ-hemi-contractive mappings in uniformly smooth Banach spaces,[[0.136972063496]]
3,37,6381,Chemistry Central Journal,479000,Multi-body interactions in molecular docking: treatment of water molecules and multiple ligands,[[0.133696733337]]
3,28,6381,Chemistry Central Journal,479100,Web-based computational chemistry,[[0.179501198748]]
3,37,6381,Chemistry Central Journal,479200,"Theoretical study on the electronic, structural, properties and reactivity of a series of mono-, di-, tri- and tetrachlorothiophenes as well as corresponding radical cation forms as monomers for conducting polymers",[[0.189203773022]]
3,37,6381,Chemistry Central Journal,479300,Effects of isopropanol on collagen fibrils in new parchment,[[0.109932621919]]
3,37,6381,Chemistry Central Journal,479400,"Organic materials in the wall paintings in Pompei: a case study of <em class=""a-plus-plus"">Insula</em> del Centenario",[[0.123854309941]]
3,37,6362,Nanoscale Research Letters,479500,Experimental investigation on the bi-directional growing mechanism of the foils laminate approach in AAO fabrication,[[0.0728676667549]]
3,37,6362,Nanoscale Research Letters,479600,Nanophotothermolysis of Poly-(vinyl) Alcohol Capped Silver Particles,[[0.182590329886]]
3,2,6362,Nanoscale Research Letters,479700,Effects of Proteins from Culture Medium on Surface Property of Silanes- Functionalized Magnetic Nanoparticles,[[0.112943700426]]
7,1,6362,Nanoscale Research Letters,479800,Assessment of the In Vivo Toxicity of Gold Nanoparticles,[[0.273922765878]]
3,37,6362,Nanoscale Research Letters,479900,Fabrication of Anti-human Cardiac Troponin I Immunogold Nanorods for Sensing Acute Myocardial Damage,[[0.139961203918]]
3,37,6362,Nanoscale Research Letters,480000,Superelasticity of Carbon Nanocoils from Atomistic Quantum Simulations,[[0.152550294954]]
3,37,6362,Nanoscale Research Letters,480100,Thermal Contraction of Electrodeposited Bi/BiSb Superlattice Nanowires,[[0.158441313742]]
3,37,6362,Nanoscale Research Letters,480200,Enhanced Specificity of Multiplex Polymerase Chain Reaction via CdTe Quantum Dots,[[0.128043162896]]
3,37,6362,Nanoscale Research Letters,480300,Ultra-steep side facets in multi-faceted SiGe/Si(001) Stranski-Krastanow islands,[[0.0896615793199]]
3,37,6362,Nanoscale Research Letters,480400,Multiple metallic-shell nanocylinders for surface-enhanced spectroscopes,[[0.141196608623]]
3,37,6362,Nanoscale Research Letters,480500,Thermal conductivity and viscosity of self-assembled alcohol/polyalphaolefin nanoemulsion fluids,[[0.113635112182]]
3,37,6362,Nanoscale Research Letters,480600,Preparation and properties of copper-oil-based nanofluids,[[0.18453371393]]
3,37,6362,Nanoscale Research Letters,480700,"Nano-embossing technology on ferroelectric thin film Pb(Zr<sub class=""a-plus-plus"">0.3</sub>,Ti<sub class=""a-plus-plus"">0.7</sub>)O<sub class=""a-plus-plus"">3</sub> for multi-bit storage application",[[0.099063391828]]
3,37,6362,Nanoscale Research Letters,480800,Improvement of photon extraction efficiency of GaN-based LED using micro and nano complex polymer structures,[[0.117098901148]]
3,37,6362,Nanoscale Research Letters,480900,Effects of pentacene-doped PEDOT:PSS as a hole-conducting layer on the performance characteristics of polymer photovoltaic cells,[[0.0752238642036]]
3,37,6362,Nanoscale Research Letters,481000,Crosstalk analysis of carbon nanotube bundle interconnects,[[0.0876365857961]]
3,37,6362,Nanoscale Research Letters,481100,"Microwave absorption properties of Ni/(C, silicides) nanocapsules",[[0.101904298917]]
